Word,Pinyin,POS,Translation
阿姨,āyí,noun,aunt
矮,ǎi,adjective,short
爱人,àiren,noun,spouse
安静,ānjìng,adjective,quiet
安全,ānquán,adjective,safe
把,bǎ,classifier、 preposition,measure word for objects with handles; particle for object-fronting
搬,bān,verb,"to move, to carry"
班级,bānjí,noun,"class, grade"
搬家,bānjiā,verb,to move house
办,bàn,verb,"to do, to handle"
办法,bànfǎ,noun,"way, solution"
办公室,bàngōngshì,noun,office
半天,bàntiān,number-classifier,"half a day, a long time"
帮助,bāngzhù,verb,help
饱,bǎo,adjective,full
报纸,bàozhǐ,noun,newspaper
北,běi,noun,north
北方,běifāng,noun,north
被,bèi,preposition,by
笔记,bǐjì,noun,notes
比较,bǐjiào,verb、 preposition、 adverb,"to compare; quite, relatively; than"
笔记本,bǐjìběn,noun,notebook
比如,bǐrú,verb,for example
比赛,bǐsài,verb、noun,"to compete; game, match"
必须,bìxū,adverb,must
变,biàn,verb,"to change, to become"
遍,biàn,classifier,measure word for actions
变成,biànchéng,verb,"to become, to turn into"
变化,biànhuà,verb、noun,to change; change
表演,biǎoyǎn,verb,"to perform, to act"
别的,biéde,pronoun,other
别人,biérén,pronoun,other people
宾馆,bīnguǎn,noun,hotel
冰,bīng,noun、(verb),ice; (to freeze)
冰激凌,bīngjīlíng,noun,ice cream
冰箱,bīngxiāng,noun,refrigerator
病人,bìngrén,noun,patient
不但,búdàn,conjunction,not only
不见,bújiàn,verb,"to disappear, to not see"
不用,búyòng,adverb,need not
不同,bù tóng,,different
不久,bùjiǔ,adjective,"soon, not long after"
不行,bùxíng,verb、adjective,"not allowed, won't do; not good"
才,cái,adverb,"just, only"
菜单,càidān,noun,menu
参加,cānjiā,verb,"to join, to attend"
草,cǎo,noun,grass
草地,cǎodì,noun,grassland
层,céng,classifier,"measure word for layer, floor"
查,chá,verb,to check
差,chà,adjective、verb,"bad, poor; to lack"
差不多,chàbuduō,adjective、adverb,"almost, similar; nearly"
尝,cháng,verb,to taste
常,cháng,adverb,"often, frequent"
常见,cháng jiàn,,common
常用,cháng yòng,,commonly used
常常,chángcháng,adverb,often
衬衫,chènshān,noun,shirt
成绩,chéngjì,noun,"score, grade, achievement"
城市,chéngshì,noun,city
迟到,chídào,verb,to be late
出发,chūfā,verb,"to set out, to leave"
出生,chūshēng,verb,to be born
出院,chūyuàn,verb,to be discharged from hospital
初中,chūzhōng,noun,junior high school
除了,chúle,preposition,"except, besides"
船,chuán,noun,boat
春天,chūntiān,noun,spring
词典,cídiǎn,noun,dictionary
聪明,cōngmíng,adjective,"smart, clever"
打扫,dǎsǎo,verb,to clean
打算,dǎsuàn,verb、noun,"to plan, intend; plan"
大概,dàgài,adjective、 adverb、 (noun),"general, rough; probably, approximately; (general idea)"
大人,dàren,noun,adult
大小,dàxiǎo,noun,size
大熊猫,dàxióngmāo,noun,giant panda
大衣,dàyī,noun,coat
带,dài,verb、(noun),"to bring, to take; (belt)"
担心,dānxīn,verb,to worry
蛋糕,dàngāo,noun,cake
当然,dāngrán,adverb,of course
到处,dàochù,adverb,everywhere
得,dé,verb,"to get, to obtain"
得到,dédào,verb,"to get, to obtain"
得分,défēn,verb、noun,to score; score
的话,dehuà,auxiliary,"particle used after a condition clause, if..."
得,děi,verb,"must, need"
灯,dēng,noun,"lamp, light"
地,dì,noun,"ground, earth, land"
地点,dìdiǎn,noun,"place, location"
地方,dìfang,noun,place
地图,dìtú,noun,map
电,diàn,noun、(verb),electricity; (to give an electric shock)
电梯,diàntī,noun,elevator
电子书,diànzǐshū,noun,e-book
丢,diū,verb,"to lose, to throw away"
东,dōng,noun,east
东北,dōngběi,noun,northeast
东方,dōngfāng,noun,east
东南,dōngnán,noun,southeast
冬天,dōngtiān,noun,winter
懂得,dǒngde,verb,to understand
动物,dòngwù,noun,animal
动物园,dòngwùyuán,noun,zoo
短,duǎn,adjective,short
短裤,duǎnkù,noun,shorts
段,duàn,classifier,"measure word of segment, paragraph"
锻炼,duànliàn,verb,to exercise
对话,duìhuà,verb,"dialogue, conversation"
饿,è,adjective,hungry
而且,érqiě,conjunction,"and, moreover"
耳朵,ěrduo,noun,ear
耳机,ěrjī,noun,earphone
发,fā,verb,"to send, to issue"
发烧,fāshāo,verb,to have a fever
发生,fāshēng,verb,to happen
