Word,Pinyin,POS,Translation
啊,ā,interjection,"ah, oh"
爱情,àiqíng,noun,love
爱心,àixīn,noun,"compassion, caring"
安检,ānjiǎn,verb,"security check, to conduct security check"
安排,ānpái,verb,to arrange
按,àn,verb、preposition,"to press, to push; according to"
按时,ànshí,adverb,"on time, on schedule"
按照,ànzhào,preposition,"according to, in accordance with"
白酒,báijiǔ,noun,"liquor, spirit"
办公,bàngōng,verb,"to handle official business, to work"
办理,bànlǐ,verb,"to handle, to process"
办事,bànshì,verb,"to handle matters, to take care of things"
棒,bàng,adjective、 (noun),"great, excellent; (stick, club)"
保护,bǎohù,verb,to protect
保证,bǎozhèng,verb、noun,"to guarantee, to ensure; guarantee, assurance"
抱,bào,verb,"to hold, to embrace, to hug"
报考,bàokǎo,verb,"to apply for an exam, to register for a test"
报名,bàomíng,verb,"to sign up, to register"
抱歉,bàoqiàn,adjective,"sorry, apologetic"
背,bēi,verb,to carry on the back
背包,bēibāo,noun,backpack
北部,běibù,noun,"northern part, north"
倍,bèi,classifier,"measure word meaning times, -fold"
本科,běnkē,noun,undergraduate program
本来,běnlái,adjective、adverb,"original, former; originally, actually"
笨,bèn,adjective,"stupid, foolish"
鼻子,bízi,noun,nose
笔试,bǐshì,verb,"written test, to take a written exam"
毕业,bìyè,verb,to graduate
毕业生,bìyèshēng,noun,graduate
便于,biànyú,verb,"to be convenient for, to facilitate"
标准,biāozhǔn,noun、adjective,"standard; standard, typical"
表,biǎo,noun、(verb),"watch, meter, table, form; (to express)"
表格,biǎogé,noun,"form, table"
表示,biǎoshì,verb,"to express, to indicate, to show"
表现,biǎoxiàn,verb,"to show, to display, to perform"
表扬,biǎoyáng,verb,"to praise, to commend"
饼干,bǐnggān,noun,"biscuit, cracker"
并,bìng,verb、adverb、 conjunction,"to combine, to merge; actually, indeed; and, also"
并且,bìngqiě,conjunction,"and, moreover, furthermore"
播放,bōfàng,verb,"to broadcast, to play"
博士,bóshì,noun,doctor
不必,búbì,adverb,"need not, not necessary"
不便,búbiàn,adjective、verb,inconvenient; to be short of money
不断,búduàn,verb、adverb,"continuous, unceasing; continuously, constantly"
不够,búgòu,verb、adverb,"not enough, insufficient; not sufficiently"
不过,búguò,conjunction、 (adverb),"but, however; (only, merely)"
不论,búlùn,conjunction,"no matter, regardless"
步,bù,noun,"step, pace"
部,bù,noun、classifier,"department, part; measure word for books, machines, etc."
不得不,bùdébù,adverb,"have to, cannot but"
部分,bùfen,noun,"part, portion"
不管,bùguǎn,conjunction,"no matter, regardless of"
不光,bùguāng,adverb、 conjunction,not only; not only... (but also)
不仅,bùjǐn,conjunction,not only
不满,bùmǎn,adjective,"dissatisfied, displeased"
部门,bùmén,noun,"department, unit"
不如,bùrú,verb,"not as good as, inferior to"
擦,cā,verb,"to wipe, to rub"
猜,cāi,verb,to guess
材料,cáiliào,noun,"material, data"
参观,cānguān,verb,"to visit, to tour"
参赛,cānsài,verb,to enter a competition
餐厅,cāntīng,noun,"restaurant, dining hall"
操场,cāochǎng,noun,playground
厕所,cèsuǒ,noun,"toilet, restroom"
查看,chákàn,verb,"to check, to view"
茶叶,cháyè,noun,tea leaf
查找,cházhǎo,verb,"to search for, to look up"
差点儿,chàdiǎnr,adjective、adverb,"poor, not good enough; almost, nearly"
产生,chǎnshēng,verb,"to produce, to generate, to arise"
厂,chǎng,noun,"factory, plant"
场,chǎng,classifier,"measure word for events, performances, etc."
超过,chāoguò,verb,"to exceed, to surpass"
车速,chēsù,noun,vehicle speed
车位,chēwèi,noun,parking space
城,chéng,noun,"city, town"
乘,chéng,verb,"to ride, to take, to multiply"
成功,chénggōng,verb、adjective,to succeed; successful
乘客,chéngkè,noun,passenger
诚实,chéngshí,adjective,honest
成为,chéngwéi,verb,to become
乘坐,chéngzuò,verb,"to ride, to take transportation"
吃惊,chījīng,verb,"to be startled, to be shocked"
迟,chí,adjective,"late, delayed"
重,chóng,adverb、(verb),"again, once more; (to repeat)"
重新,chóngxīn,adverb,"again, anew"
出差,chūchāi,verb,to go on a business trip
出又,chūkǒu,noun、(verb),exit; (to export)
出现,chūxiàn,verb,"to appear, to emerge"
出行,chūxíng,verb,"to travel, to go out"
出租,chūzū,verb,to rent out
厨房,chúfáng,noun,kitchen
厨师,chúshī,noun,"chef, cook"
窗,chuāng,noun,window
窗户,chuānghu,noun,window
吹,chuī,verb,to blow
词语,cíyǔ,noun,"word, phrase"
此,cǐ,pronoun,this
此次,cǐ cì,,this time
此外,cǐwài,conjunction,"besides, in addition, moreover"
从此,cóngcǐ,adverb,"from then on, since then"
从来,cónglái,adverb,"always, at all times"
从中,cóngzhōng,adverb,"from among, from it"
粗,cū,adjective,"coarse, rough, thick"
粗心,cūxīn,adjective,careless
村,cūn,noun,village
存,cún,verb,"to store, to keep, to exist"
错过,cuòguò,verb,"to miss, to let slip"
错误,cuòwù,adjective、noun,"wrong, mistaken; mistake, error"
答应,dāying,verb,"to agree, to promise, to reply"
答,dá,verb,"to answer, to reply"
答案,dá’àn,noun,"answer, solution"
达到,dádào,verb,"to reach, to achieve"
打招呼,dǎ zhāohu,,"to greet, to say hello"
打败,dǎbài,verb,"to defeat, to beat"
打工,dǎgōng,verb,to work a temporary job
打扰,dǎrǎo,verb,"to disturb, to bother"
打印,dǎyìn,verb,to print
打印机,dǎyìnjī,noun,printer
打折,dǎzhé,verb,to give a discount
打针,dǎzhēn,verb,"to get an injection, to receive a shot"
大巴,dàbā,noun,"large bus, coach"
大大,dàdà,adverb,"greatly, significantly"
大夫,dàifu,noun,doctor (medical)
大量,dàliàng,adjective,"large quantity, a large amount"
大赛,dàsài,noun,"major competition, grand contest"
大厅,dàtīng,noun,"hall, lobby"
大约,dàyuē,adverb,"approximately, about"
大自然,dàzìrán,noun,"nature, the natural world"
待,dāi,verb,to stay
戴,dài,verb,"to wear, to put on"
袋子,dàizi,noun,"bag, sack"
单位,dānwèi,noun,"unit, department"
当,dāng,verb、preposition,"to serve as, to be; at the time of"
当时,dāngshí,noun,"at that time, then"
刀,dāo,noun,knife
导游,dǎoyóu,verb、noun,tour guide; to guide
倒,dào,verb、(adverb),"to fall, to collapse; (however, but)"
道,dào,noun、classifier,"path, way, method; measure word for long objects"
到底,dàodǐ,adverb,"finally, after all, to the end"
到来,dàolái,verb,to arrive
道路,dàolù,noun,"road, path"
道歉,dàoqiàn,verb,to apologize
