Word,Pinyin,POS,Translation
爱,ài,verb,to love
八,bā,number,eight
爸爸,bàba,noun,dad
吧,ba,auxiliary,"particle indicating suggestion, confirmation, or hesitation"
白天,báitiān,noun,daytime
百,bǎi,number,hundred
半,bàn,number、 (adverb),"half; (half, semi-)"
包子,bāozi,noun,steamed stuffed bun
杯子,bēizi,noun,"cup, glass"
本,běn,classifier,measure word for books
边,biān,noun、suffix,side; suffix indicating direction
病,bìng,noun、verb,"illness, disease; to be ill"
不,bù,adverb,"not, no"
不客气,bú kèqi,,you're welcome
不要,búyào,adverb,"don't, not want"
菜,cài,noun,"vegetable, dish"
茶,chá,noun,tea
唱,chàng,verb,to sing
超市,chāoshì,noun,supermarket
车,chē,noun,"vehicle, car"
吃,chī,verb,to eat
出租车,chūzūchē,noun,taxi
穿,chuān,verb,to wear
打电话,dǎ diànhuà,,to make a phone call
大,dà,adjective,big
大家,dàjiā,pronoun,everyone
大学,dàxué,noun,university
大学生,dàxuéshēng,noun,university student
到,dào,verb,to arrive
的,de,auxiliary,possessive or modifying particle
第,dì,prefix,prefix for ordinal numbers
弟弟,dìdi,noun,younger brother
点,diǎn,classifier、 (noun),"measure word for small round things; (point, dot)"
店,diàn,noun,"shop, store"
电话,diànhuà,noun,"telephone, phone call"
电脑,diànnǎo,noun,computer
电视,diànshì,noun,television
电影,diànyǐng,noun,"movie, film"
电影院,diànyǐngyuàn,noun,cinema
东西,dōngxi,noun,"thing, object"
都,dōu,adverb,"all, both"
读,dú,verb,to read
读书,dúshū,verb,to read a book
对,duì,adjective、 preposition、 (verb、 classifier),"correct, right; to, toward, for; (to treat; pair)"
对不起,duìbuqǐ,verb,sorry
多,duō,adjective、verb、 pronoun、 (number、 adverb),"many, much; to have more; how many, how much; (more, over)"
多少,duōshao,pronoun,"how many, how much"
儿子,érzi,noun,son
二,èr,number,two
饭,fàn,noun,"cooked rice, meal"
饭店,fàndiàn,noun,restaurant
房间,fángjiān,noun,room
非常,fēicháng,adverb,"very, extremely"
飞机,fēijī,noun,airplane
分,fēn,classifier、 (verb、noun),"minute; (to divide, to separate; component, part)"
分钟,fēnzhōng,classifier,minute
高兴,gāoxìng,adjective,"happy, glad"
歌,gē,noun,song
哥哥,gēge,noun,older brother
个,gè,classifier,measure word for general objects
给,gěi,verb、 (preposition),"to give; (to, for)"
公司,gōngsī,noun,company
工作,gōngzuò,verb、noun,work; to work
狗,gǒu,noun,dog
贵,guì,adjective,expensive
国,guó,noun,country
还,hái,adverb,"still, also; quite"
孩子,háizi,noun,child
汉语,Hànyǔ,noun,Chinese language
汉字,Hànzì,noun,Chinese character
好,hǎo,adjective、 (adverb)、 (verb),good; (well); (to be fond of)
好吃,hǎochī,adjective,"delicious, tasty"
好看,hǎokàn,adjective,good-looking
好听,hǎotīng,adjective,pleasant to listen to
好玩儿,hǎowánr,adjective,"fun, amusing"
号,hào,noun、classifier,"number; measure word for people, items"
喝,hē,verb,to drink
和,hé,preposition、 conjunction,"and, with"
很,hěn,adverb,very
后,hòu,noun,"behind, later"
回,huí,verb、 (classifier),to return; (measure word for times)
会,huì,verb,"can, to be able to"
火车,huǒchē,noun,train
鸡蛋,jīdàn,noun,egg
几,jǐ,pronoun、 number,"how many, a few"
家,jiā,noun、classifier、 (suffix),"home, family; measure word for families; (suffix indicating a person specializing in something)"
家人,jiārén,noun,family member
见,jiàn,verb,to see
件,jiàn,classifier,measure word for items
饺子,jiǎozi,noun,dumpling
叫,jiào,verb、 (preposition),"to be called, to call; to make; (by)"
姐姐,jiějie,noun,older sister
今年,jīnnián,noun,this year
今天,jīntiān,noun,today
九,jiǔ,number,nine
觉得,juéde,verb,"to feel, to think"
开,kāi,verb,to open
开车,kāichē,verb,to drive
看,kàn,verb,"to see, to look"
看病,kànbìng,verb,to see a doctor
看见,kànjiàn,verb,to see
可以,kěyǐ,verb、adjective,"can, may; okay, fine"
课,kè,noun,"class, lesson"
又,kǒu,noun、classifier,"mouth; measure word for family members, bites"
块,kuài,classifier,"measure word for pieces, chunks, money"
来,lái,verb,to come
老师,lǎoshī,noun,teacher
了,le,auxiliary,particle indicating completed action or change of state
冷,lěng,adjective,cold
里,lǐ,noun,"inside, in, mile"
两,liǎng,number,two
零,líng,number,zero
六,liù,number,six
妈妈,māma,noun,mom
吗,ma,auxiliary,question particle
买,mǎi,verb,to buy
卖,mài,verb,to sell
忙,máng,adjective、verb,busy; to be busy
猫,māo,noun,cat
没关系,méi guānxi,,"never mind, it's okay"
没事,méishì,verb,"to have nothing to do, it doesn't matter"
没有,méiyǒu,verb、adverb,to not have; have not
妹妹,mèimei,noun,younger sister
们,men,suffix,plural suffix for pronouns and nouns
米饭,mǐfàn,noun,cooked rice
面包,miànbāo,noun,bread
面条儿,miàntiáor,noun,noodles
明年,míngnián,noun,next year
明天,míngtiān,noun,tomorrow
名字,míngzi,noun,name
哪,nǎ,pronoun,which
哪个,nǎge,pronoun,which one
哪里,nǎlǐ,pronoun,where
哪儿,nǎr,pronoun,where
哪些,nǎxiē,pronoun,which ones
那,nà,pronoun、 (conjunction),that; (then)
那边,nàbiān,pronoun,over there
那个,nàge,pronoun,that one
那里,nàlǐ,pronoun,there
那儿,nàr,pronoun,there
那些,nàxiē,pronoun,those
男,nán,adjective,male
男朋友,nánpéngyou,noun,boyfriend
呢,ne,auxiliary,question or continuation particle
能,néng,verb,"can, be able to"
你,nǐ,pronoun,you
你好,nǐ hǎo,,hello
你们,nǐmen,pronoun,you plural
年,nián,noun、classifier,year; measure word for years
您,nín,pronoun,you
牛奶,niúnǎi,noun,milk
女,nǚ,adjective,female
女儿,nǚ’ér,noun,daughter
女朋友,nǚpéngyou,noun,girlfriend
女士,nǚshì,noun,"lady, Ms."
朋友,péngyou,noun,friend
便宜,piányi,adjective,cheap
漂亮,piàoliang,adjective,beautiful
苹果,píngguǒ,noun,apple
七,qī,number,seven
起床,qǐchuáng,verb,to get up
千,qiān,number,thousand
前,qián,noun,"front, before"
钱,qián,noun,money
请,qǐng,verb,please
请问,qǐngwèn,verb,may I ask
去,qù,verb,to go
去年,qùnián,noun,last year
热,rè,adjective,hot
人,rén,noun,person
认识,rènshi,verb,"to know, to recognize"
日,rì,classifier、 (noun),measure word for days; (sun)
三,sān,number,three
商店,shāngdiàn,noun,"store, shop"
上,shàng,noun、verb,"up, above; to go up"
上班,shàngbān,verb,to go to work
上课,shàngkè,verb,to attend class
上午,shàngwǔ,noun,morning
上学,shàngxué,verb,to go to school
少,shǎo,adjective、verb,"few, little; to lack"
谁,shéi/shuí,pronoun,who
什么,shénme,pronoun,what
生病,shēngbìng,verb,to get sick
十,shí,number,ten
时候,shíhou,noun,"moment, time"
时间,shíjiān,noun,time
事,shì,noun,"matter, thing"
是,shì,verb,to be
手机,shǒujī,noun,cell phone
书,shū,noun,book
书店,shūdiàn,noun,bookstore
水,shuǐ,noun,water
水果,shuǐguǒ,noun,fruit
睡,shuì,verb,to sleep
睡觉,shuìjiào,verb,to sleep
说,shuō,verb,"to speak, to say"
说话,shuōhuà,verb,to talk
四,sì,number,four
岁,suì,classifier,measure word for age
他,tā,pronoun,"he, him"
它,tā,pronoun,it
她,tā,pronoun,she
他们,tāmen,pronoun,they
它们,tāmen,pronoun,they
她们,tāmen,pronoun,they
太,tài,adverb,"too, extremely"
天,tiān,noun、classifier,day; measure word for days
天气,tiānqì,noun,weather
听,tīng,verb,to listen
听见,tīngjiàn,verb,to hear
同学,tóngxué,noun,classmate
外,wài,noun,"outside, exterior"
外边,wàibian,noun,outside
玩,wán,verb,to play
晚,wǎn,adjective,late
晚饭,wǎnfàn,noun,dinner
晚上,wǎnshang,noun,evening
喂,wèi,interjection,hello used when answering the phone)
问,wèn,verb,to ask
问题,wèntí,noun,question
我,wǒ,pronoun,I
我们,wǒmen,pronoun,we
五,wǔ,number,five
午饭,wǔfàn,noun,lunch
喜欢,xǐhuan,verb,to like
下,xià,noun、verb、 classifier,"down, below; to go down; measure word for times"
下雨,xià yǔ,,to rain
下班,xiàbān,verb,to get off work
下课,xiàkè,verb,to finish class
下午,xiàwǔ,noun,afternoon
先生,xiānsheng,noun,"Mr., husband"
现在,xiànzài,noun,now
想,xiǎng,verb,to think; to want
小,xiǎo,adjective、prefix,small; prefix indicating small size or endearment
小朋友,xiǎopéngyǒu,noun,"little friend, child"
小时,xiǎoshí,noun,hour
小学,xiǎoxué,noun,primary school
小学生,xiǎoxuéshēng,noun,primary school student
些,xiē,classifier,measure word for an indefinite amount
写,xiě,verb,to write
谢谢,xièxie,verb,to thank
新,xīn,adjective,new
星期,xīngqī,noun,week
星期日,xīngqīrì,noun,Sunday
星期天,xīngqītiān,noun,Sunday
休息,xiūxi,verb,to rest
学,xué,verb,"to learn, to study"
学生,xuéshēng,noun,student
学习,xuéxí,verb,to study
学校,xuéxiào,noun,school
雪,xuě,noun,snow
要,yào,verb,"to want, to need"
也,yě,adverb,"also, too"
一,yī,number,one
衣服,yīfu,noun,clothes
医生,yīshēng,noun,doctor
医院,yīyuàn,noun,hospital
一半,yíbàn,number,half
一下,yíxià,numberclassifier、 (adverb),"once, a little; (in a short while)"
椅子,yǐzi,noun,chair
一点儿,yìdiǎnr,number-classifier,"a little, a bit"
一些,yìxiē,number-classifier,"some, a few"
有,yǒu,verb,"to have, to exist"
有的,yǒude,pronoun,some of them
有点儿,yǒudiǎnr,adverb,"a little, slightly"
有些,yǒuxiē,pronoun、 (adverb),"some, some of; (somewhat, rather)"
雨,yǔ,noun,rain
元,yuán,classifier,yuan
月,yuè,noun,month; moon
再,zài,adverb,"again, then"
在,zài,verb、 preposition、 adverb,to be at; at; in the middle of
再见,zàijiàn,verb,goodbye
早,zǎo,adjective,early
早饭,zǎofàn,noun,breakfast
早上,zǎoshang,noun,morning
怎么,zěnme,pronoun,how
怎么样,zěnmeyàng,pronoun,"how about, what do you think"
找,zhǎo,verb,to look for
这,zhè,pronoun,this
这边,zhèbiān,pronoun,here
这个,zhège,pronoun,this one
这里,zhèlǐ,pronoun,here
这儿,zhèr,pronoun,here
这些,zhèxiē,pronoun,these
真,zhēn,adverb、 (adjective),really; (true)
正在,zhèngzài,adverb,in the process of
只,zhī,classifier,"measure word for animals, one of a pair"
知道,zhīdào,verb,to know
中国,Zhōngguó,noun,China
中文,Zhōngwén,noun,Chinese language
中午,zhōngwǔ,noun,noon
中学,zhōngxué,noun,middle school
中学生,zhōngxuéshēng,noun,middle school student
住,zhù,verb,"to live, to reside"
桌子,zhuōzi,noun,"table, desk"
字,zì,noun,"character, script"
昨天,zuótiān,noun,yesterday
坐,zuò,verb,to sit
做,zuò,verb,"to do, to make"
做饭,zuò fàn,,to cook
